geneNames	transcriptNames	id	fc	pval	qval
.	gene-PA3913	4010	29091498254.5604	0.000175290594766064	0.908005280888213
.	gene-PA1404	1434	1.12686269093124e-08	0.000856022350965158	0.969361241542868
.	gene-PA4039	4138	0.219740438058536	0.000973671347345606	0.969361241542868
.	gene-PA1061	1087	8.96263017177875	0.00111790272103063	0.969361241542868
.	gene-PA0204	208	0.000203014092922742	0.00123906393579676	0.969361241542868
.	gene-PA1020	1045	0.00159382051466225	0.00151602841440401	0.969361241542868
.	gene-PA4804	4956	0.000295186771378899	0.00160623277100735	0.969361241542868
.	gene-PA1414	1444	5898415.35130433	0.00183485717204634	0.969361241542868
.	gene-PA1977	2021	2.0191733081686e-07	0.00195425865183152	0.969361241542868
.	gene-PA2764	2825	1.96639307149939	0.00219839273414468	0.969361241542868
.	gene-PA1542	1575	0.00103045737849591	0.00246394613226264	0.969361241542868
phrS	rna-PA3305.1	3387	109929732.110522	0.00260588107873982	0.969361241542868
soj	gene-PA5563	5728	55.5435220504591	0.00273386843693646	0.969361241542868
.	gene-PA3681	3775	314.919552007981	0.00304091053238409	0.969361241542868
.	MSTRG.2867.4	3522	138825919.565077	0.00305241652134591	0.969361241542868
.	gene-PA2151	2196	0.000768171373025022	0.00320822892846029	0.969361241542868
.	gene-PA5021	5176	184.92530547129	0.00420524495030317	0.969361241542868
phzD2	gene-PA1902	1948	1.7435813812808	0.00499197059755452	0.969361241542868
.	rna-PA4280.2	4388	3.56263663352766e-05	0.00524871064285071	0.969361241542868
.	gene-PA3302	3381	6800614224691793	0.00532772132063064	0.969361241542868
.	gene-PA2841	2906	15.6360868851733	0.0053392995439443	0.969361241542868
.	gene-PA5246	5405	232.177587503603	0.0053714656785524	0.969361241542868
.	gene-PA3992	4090	114.569937492452	0.00569309333607437	0.969361241542868
.	gene-PA2635	2692	0.14049848421175	0.00593932253879781	0.969361241542868
.	gene-PA0121	125	4.58600284268607e-05	0.00610507077287537	0.969361241542868
.	gene-PA2774	2836	5.11739861278698	0.00669975327835393	0.969361241542868
.	gene-PA5507	5673	4183900.73780745	0.00682930486301236	0.969361241542868
proA	gene-PA4007	4105	377.111334893478	0.00685936525851938	0.969361241542868
.	gene-PA1459	1490	74.6412028102676	0.007079188083152	0.969361241542868
.	gene-PA2662	2719	6297243.10549056	0.00733051321142519	0.969361241542868
