locus_tag	ftype	length_bp	gene	EC_number	COG	product
GJMMAFOP_00001	CDS	2466	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
GJMMAFOP_00002	CDS	1923	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
GJMMAFOP_00003	CDS	246				hypothetical protein
GJMMAFOP_00004	CDS	1113	recF_1		COG1195	DNA replication and repair protein RecF
GJMMAFOP_00005	CDS	216				hypothetical protein
GJMMAFOP_00006	CDS	1137	dnaN_1		COG0592	Beta sliding clamp
GJMMAFOP_00007	CDS	516	tagH_1	7.5.2.4	COG1134	Teichoic acids export ATP-binding protein TagH
GJMMAFOP_00008	CDS	531				hypothetical protein
GJMMAFOP_00009	CDS	132				hypothetical protein
GJMMAFOP_00010	CDS	1194	tylCV_1	2.4.1.318		Demethyllactenocin mycarosyltransferase
GJMMAFOP_00011	CDS	576				hypothetical protein
GJMMAFOP_00012	CDS	726				hypothetical protein
GJMMAFOP_00013	CDS	564				hypothetical protein
GJMMAFOP_00014	CDS	495	ylaC_1			RNA polymerase sigma factor YlaC
GJMMAFOP_00015	CDS	471				hypothetical protein
GJMMAFOP_00016	CDS	1407	rlmCD_1	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
GJMMAFOP_00017	CDS	864				hypothetical protein
GJMMAFOP_00018	CDS	963	corA_1		COG0598	Cobalt/magnesium transport protein CorA
GJMMAFOP_00019	CDS	597				hypothetical protein
GJMMAFOP_00020	CDS	1104	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
GJMMAFOP_00021	CDS	795	pdaA_1	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
GJMMAFOP_00022	CDS	186				hypothetical protein
GJMMAFOP_00023	CDS	1122	queE_1	4.3.99.3		7-carboxy-7-deazaguanine synthase
GJMMAFOP_00024	CDS	792	yfkD_1			putative protein YfkD
GJMMAFOP_00025	CDS	1056	chaA_1		COG0387	Ca(2+)/H(+) antiporter ChaA
GJMMAFOP_00026	CDS	381				hypothetical protein
GJMMAFOP_00027	CDS	1179	ycaD_1			putative MFS-type transporter YcaD
GJMMAFOP_00028	CDS	108				hypothetical protein
GJMMAFOP_00029	CDS	816				hypothetical protein
GJMMAFOP_00030	CDS	351				hypothetical protein
GJMMAFOP_00031	CDS	471	yfkJ_1	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
GJMMAFOP_00032	CDS	1359	alsT_1		COG1115	Amino-acid carrier protein AlsT
GJMMAFOP_00033	CDS	216				hypothetical protein
GJMMAFOP_00034	CDS	516	yfkM_1	3.2.-.-	COG0693	General stress protein 18
GJMMAFOP_00035	CDS	4269	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
GJMMAFOP_00036	CDS	684	yfkO_1	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YfkO
GJMMAFOP_00037	CDS	393				hypothetical protein
GJMMAFOP_00038	CDS	912				hypothetical protein
GJMMAFOP_00039	CDS	1281	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
GJMMAFOP_00040	CDS	1065	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
GJMMAFOP_00041	CDS	1110	fdtB	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
GJMMAFOP_00042	CDS	1083				hypothetical protein
GJMMAFOP_00043	CDS	2244				hypothetical protein
GJMMAFOP_00044	CDS	1374				hypothetical protein
GJMMAFOP_00045	CDS	975	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
GJMMAFOP_00046	CDS	543	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
GJMMAFOP_00047	CDS	1092	rfbE	2.6.1.102	COG0399	GDP-perosamine synthase
GJMMAFOP_00048	CDS	156				hypothetical protein
GJMMAFOP_00049	CDS	1401	stp			Multidrug resistance protein Stp
GJMMAFOP_00050	CDS	471				hypothetical protein
GJMMAFOP_00051	CDS	501				hypothetical protein
GJMMAFOP_00052	CDS	1302				hypothetical protein
GJMMAFOP_00053	CDS	225				hypothetical protein
GJMMAFOP_00054	CDS	777	rsfA_1			Prespore-specific transcriptional regulator RsfA
GJMMAFOP_00055	CDS	891				hypothetical protein
GJMMAFOP_00056	CDS	846	lipL_1	2.3.1.204	COG0095	Octanoyl-[GcvH]:protein N-octanoyltransferase
GJMMAFOP_00057	CDS	900	cysL_1		COG0583	HTH-type transcriptional regulator CysL
GJMMAFOP_00058	CDS	972	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
GJMMAFOP_00059	CDS	765		1.11.1.-	COG3253	Putative heme-dependent peroxidase
GJMMAFOP_00060	CDS	780	bacG	1.3.1.-	COG1028	NADPH-dependent reductase BacG
GJMMAFOP_00061	CDS	1200	bacF_1	2.6.1.-	COG0436	Transaminase BacF
GJMMAFOP_00062	CDS	1185	bacE			Putative bacilysin exporter BacE
GJMMAFOP_00063	CDS	1419	bacD	6.3.2.49	COG0439	Alanine--anticapsin ligase
GJMMAFOP_00064	CDS	762	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
GJMMAFOP_00065	CDS	708	bacB	5.3.3.19		H2HPP isomerase
GJMMAFOP_00066	CDS	615	bacA	4.1.1.100		Prephenate decarboxylase
GJMMAFOP_00067	CDS	1239	pbuE_1		COG2814	Purine efflux pump PbuE
GJMMAFOP_00068	CDS	192				hypothetical protein
GJMMAFOP_00069	CDS	519	trpP_1			putative tryptophan transport protein
GJMMAFOP_00070	CDS	1080	serC_1	2.6.1.52	COG1932	Phosphoserine aminotransferase
GJMMAFOP_00071	CDS	438	hit_1		COG0537	Protein hit
GJMMAFOP_00072	CDS	744	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
GJMMAFOP_00073	CDS	1227				hypothetical protein
GJMMAFOP_00074	CDS	711				hypothetical protein
GJMMAFOP_00075	CDS	1191		3.5.1.47		N-acetyldiaminopimelate deacetylase
GJMMAFOP_00076	CDS	330				hypothetical protein
GJMMAFOP_00077	CDS	600				hypothetical protein
GJMMAFOP_00078	CDS	558				hypothetical protein
GJMMAFOP_00079	CDS	549	gmk_1	2.7.4.8		Guanylate kinase
GJMMAFOP_00080	CDS	297				hypothetical protein
GJMMAFOP_00081	CDS	210				hypothetical protein
GJMMAFOP_00082	CDS	375				hypothetical protein
GJMMAFOP_00083	tRNA	76				tRNA-Ala(tgc)
GJMMAFOP_00084	tRNA	77				tRNA-Ile(gat)
GJMMAFOP_00085	CDS	657	prsW_1	3.4.-.-	COG2339	Protease PrsW
GJMMAFOP_00086	CDS	231				hypothetical protein
GJMMAFOP_00087	rRNA	76				5S ribosomal RNA (partial)
GJMMAFOP_00088	rRNA	89				5S ribosomal RNA (partial)
GJMMAFOP_00089	tRNA	75				tRNA-Asn(gtt)
GJMMAFOP_00090	tRNA	73				tRNA-Thr(ggt)
GJMMAFOP_00091	tRNA	75				tRNA-Gly(gcc)
GJMMAFOP_00092	tRNA	77				tRNA-Arg(acg)
GJMMAFOP_00093	CDS	165	yopK			SPbeta prophage-derived uncharacterized protein YopK
GJMMAFOP_00094	rRNA	83				5S ribosomal RNA (partial)
GJMMAFOP_00095	rRNA	83				5S ribosomal RNA (partial)
GJMMAFOP_00096	CDS	942				hypothetical protein
GJMMAFOP_00097	CDS	483				hypothetical protein
GJMMAFOP_00098	CDS	702	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
GJMMAFOP_00099	CDS	576				hypothetical protein
GJMMAFOP_00100	CDS	354				hypothetical protein
GJMMAFOP_00101	CDS	276				hypothetical protein
GJMMAFOP_00102	CDS	396				hypothetical protein
GJMMAFOP_00103	CDS	315				hypothetical protein
GJMMAFOP_00104	tRNA	77				tRNA-Met(cat)
GJMMAFOP_00105	tRNA	76				tRNA-Val(tac)
GJMMAFOP_00106	tRNA	72				tRNA-Glu(ttc)
GJMMAFOP_00107	tRNA	92				tRNA-Ser(gga)
GJMMAFOP_00108	tRNA	75				tRNA-Asn(gtt)
GJMMAFOP_00109	rRNA	111				5S ribosomal RNA
GJMMAFOP_00110	CDS	537				hypothetical protein
GJMMAFOP_00111	tRNA	77				tRNA-Asp(gtc)
GJMMAFOP_00112	tRNA	77				tRNA-Met(cat)
GJMMAFOP_00113	CDS	507				hypothetical protein
GJMMAFOP_00114	tRNA	76				tRNA-Ala(tgc)
GJMMAFOP_00115	tRNA	77				tRNA-Ile(gat)
GJMMAFOP_00116	tRNA	76				tRNA-Ala(tgc)
GJMMAFOP_00117	CDS	258	yokF	3.1.-.-	COG1525	SPbeta prophage-derived endonuclease YokF
GJMMAFOP_00118	rRNA	83				5S ribosomal RNA (partial)
GJMMAFOP_00119	CDS	510				hypothetical protein
GJMMAFOP_00120	CDS	249				hypothetical protein
GJMMAFOP_00121	tRNA	77				tRNA-Pro(tgg)
GJMMAFOP_00122	tRNA	77				tRNA-Arg(acg)
GJMMAFOP_00123	CDS	258				hypothetical protein
GJMMAFOP_00124	tRNA	77				tRNA-Arg(acg)
GJMMAFOP_00125	tRNA	86				tRNA-Leu(taa)
GJMMAFOP_00126	CDS	342				hypothetical protein
GJMMAFOP_00127	CDS	321				hypothetical protein
GJMMAFOP_00128	rRNA	90				5S ribosomal RNA (partial)
GJMMAFOP_00129	CDS	198				hypothetical protein
GJMMAFOP_00130	CDS	261				hypothetical protein
GJMMAFOP_00131	CDS	204				hypothetical protein
GJMMAFOP_00132	CDS	108				hypothetical protein
GJMMAFOP_00133	CDS	840				hypothetical protein
GJMMAFOP_00134	CDS	123				hypothetical protein
GJMMAFOP_00135	CDS	1164	rapI_1	3.1.-.-		Response regulator aspartate phosphatase I
GJMMAFOP_00136	CDS	321				hypothetical protein
GJMMAFOP_00137	CDS	180				hypothetical protein
GJMMAFOP_00138	CDS	492				hypothetical protein
GJMMAFOP_00139	tRNA	77				tRNA-Asn(gtt)
GJMMAFOP_00140	tRNA	74				tRNA-Trp(cca)
GJMMAFOP_00141	CDS	1380				hypothetical protein
GJMMAFOP_00142	CDS	942				hypothetical protein
GJMMAFOP_00143	CDS	1149				hypothetical protein
GJMMAFOP_00144	CDS	216				hypothetical protein
GJMMAFOP_00145	CDS	333				hypothetical protein
GJMMAFOP_00146	CDS	339				hypothetical protein
GJMMAFOP_00147	CDS	381				hypothetical protein
GJMMAFOP_00148	CDS	405				hypothetical protein
GJMMAFOP_00149	CDS	651				hypothetical protein
GJMMAFOP_00150	CDS	327				hypothetical protein
GJMMAFOP_00151	CDS	5085	smc_1			Chromosome partition protein Smc
GJMMAFOP_00152	CDS	1665				hypothetical protein
GJMMAFOP_00153	CDS	2331				hypothetical protein
GJMMAFOP_00154	CDS	393				hypothetical protein
GJMMAFOP_00155	CDS	1668				hypothetical protein
GJMMAFOP_00156	CDS	480				hypothetical protein
GJMMAFOP_00157	CDS	207				hypothetical protein
GJMMAFOP_00158	CDS	270				hypothetical protein
GJMMAFOP_00159	CDS	297				hypothetical protein
GJMMAFOP_00160	CDS	1317				hypothetical protein
GJMMAFOP_00161	CDS	978	xerC_1			Tyrosine recombinase XerC
GJMMAFOP_00162	CDS	1620	yqcG_1	3.1.-.-	COG5444	Ribonuclease YqcG
GJMMAFOP_00163	CDS	417				hypothetical protein
GJMMAFOP_00164	CDS	174				hypothetical protein
GJMMAFOP_00165	CDS	624				hypothetical protein
GJMMAFOP_00166	CDS	180				hypothetical protein
GJMMAFOP_00167	CDS	867				hypothetical protein
GJMMAFOP_00168	CDS	279				hypothetical protein
GJMMAFOP_00169	CDS	330				hypothetical protein
GJMMAFOP_00170	CDS	138				hypothetical protein
GJMMAFOP_00171	CDS	276				hypothetical protein
GJMMAFOP_00172	CDS	459				hypothetical protein
GJMMAFOP_00173	CDS	222				hypothetical protein
GJMMAFOP_00174	CDS	294				hypothetical protein
GJMMAFOP_00175	CDS	897	traC	2.7.7.-		DNA primase TraC
GJMMAFOP_00176	CDS	1995	gyrA_2	5.6.2.2	COG0188	DNA gyrase subunit A
GJMMAFOP_00177	CDS	1917	gyrB_2	5.6.2.2		DNA gyrase subunit B
GJMMAFOP_00178	CDS	864				hypothetical protein
GJMMAFOP_00179	CDS	522				hypothetical protein
GJMMAFOP_00180	CDS	588	tdk_1	2.7.1.21		Thymidine kinase
GJMMAFOP_00181	CDS	216				hypothetical protein
GJMMAFOP_00182	CDS	156				hypothetical protein
GJMMAFOP_00183	CDS	282				hypothetical protein
GJMMAFOP_00184	CDS	828				hypothetical protein
GJMMAFOP_00185	CDS	1845	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
GJMMAFOP_00186	CDS	735	prpE_1	3.6.1.17	COG0639	Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical]
GJMMAFOP_00187	CDS	900				hypothetical protein
GJMMAFOP_00188	CDS	801	ppnKA_1	2.7.1.23	COG0061	NAD kinase 1
GJMMAFOP_00189	CDS	636	yjbM_1	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
GJMMAFOP_00190	CDS	369				hypothetical protein
GJMMAFOP_00191	CDS	573	yjbK_1	3.6.1.-	COG4116	Putative triphosphatase YjbK
GJMMAFOP_00192	CDS	735	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
GJMMAFOP_00193	CDS	399	yjbI_1		COG2346	Group 2 truncated hemoglobin YjbI
GJMMAFOP_00194	CDS	900				hypothetical protein
GJMMAFOP_00195	CDS	204				hypothetical protein
GJMMAFOP_00196	CDS	168				hypothetical protein
GJMMAFOP_00197	CDS	2013	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
GJMMAFOP_00198	CDS	1152	coiA_1		COG4469	Competence protein CoiA
GJMMAFOP_00199	CDS	657	mecA_1		COG4862	Adapter protein MecA 1
GJMMAFOP_00200	CDS	657				hypothetical protein
GJMMAFOP_00201	CDS	396	spxA_1		COG1393	Regulatory protein Spx
GJMMAFOP_00202	CDS	579	yjbC_1	2.3.1.-		Putative acetyltransferase YjbC
GJMMAFOP_00203	CDS	1110				hypothetical protein
GJMMAFOP_00204	CDS	918	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
GJMMAFOP_00205	CDS	1068	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
GJMMAFOP_00206	CDS	918	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
GJMMAFOP_00207	CDS	936	oppB_1		COG0601	Oligopeptide transport system permease protein OppB
GJMMAFOP_00208	CDS	1638	oppA_1		COG4166	Oligopeptide-binding protein OppA
GJMMAFOP_00209	CDS	993	trpS_1	6.1.1.2	COG0180	Tryptophan--tRNA ligase
GJMMAFOP_00210	CDS	753				hypothetical protein
GJMMAFOP_00211	CDS	912	dppC_1		COG1173	Dipeptide transport system permease protein DppC
GJMMAFOP_00212	CDS	951	dppB_1		COG0601	Dipeptide transport system permease protein DppB
GJMMAFOP_00213	CDS	1632	appA_1			Oligopeptide-binding protein AppA
GJMMAFOP_00214	CDS	990	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
GJMMAFOP_00215	CDS	987	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
GJMMAFOP_00216	CDS	786				hypothetical protein
GJMMAFOP_00217	CDS	1242	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
GJMMAFOP_00218	CDS	939	fabHA_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1
GJMMAFOP_00219	CDS	234				hypothetical protein
GJMMAFOP_00220	CDS	192				hypothetical protein
GJMMAFOP_00221	CDS	954				Purine-binding protein
GJMMAFOP_00222	CDS	558				hypothetical protein
GJMMAFOP_00223	CDS	735				hypothetical protein
GJMMAFOP_00224	CDS	186				hypothetical protein
GJMMAFOP_00225	CDS	180				hypothetical protein
GJMMAFOP_00226	CDS	960	argF_1	2.1.3.3	COG0078	Ornithine carbamoyltransferase
GJMMAFOP_00227	CDS	3093	carB_1	6.3.5.5		Carbamoyl-phosphate synthase arginine-specific large chain
GJMMAFOP_00228	CDS	1062	carA_1	6.3.5.5		Carbamoyl-phosphate synthase arginine-specific small chain
GJMMAFOP_00229	CDS	1158	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
GJMMAFOP_00230	CDS	777	argB_1	2.7.2.8	COG0548	Acetylglutamate kinase
GJMMAFOP_00231	CDS	1221	argJ_1			Arginine biosynthesis bifunctional protein ArgJ
GJMMAFOP_00232	CDS	1038	argC_1	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
GJMMAFOP_00233	CDS	540	mdtG_1			Multidrug resistance protein MdtG
GJMMAFOP_00234	CDS	1431	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
GJMMAFOP_00235	CDS	171				hypothetical protein
GJMMAFOP_00236	CDS	309	sufT_1			Fe-S protein maturation auxiliary factor SufT
GJMMAFOP_00237	CDS	768				hypothetical protein
GJMMAFOP_00238	CDS	813	yitU_1	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
GJMMAFOP_00239	CDS	153				hypothetical protein
GJMMAFOP_00240	CDS	147				hypothetical protein
GJMMAFOP_00241	CDS	456				hypothetical protein
GJMMAFOP_00242	CDS	843				hypothetical protein
GJMMAFOP_00243	CDS	852			COG1307	Fatty acid-binding protein
GJMMAFOP_00244	CDS	1617	nprB	3.4.24.-	COG3227	Neutral protease B
GJMMAFOP_00245	CDS	294				hypothetical protein
GJMMAFOP_00246	CDS	588				hypothetical protein
GJMMAFOP_00247	CDS	348				hypothetical protein
GJMMAFOP_00248	CDS	537				hypothetical protein
GJMMAFOP_00249	CDS	930	sdpB_1			Sporulation-delaying protein SdpB
GJMMAFOP_00250	CDS	585	sdpC_1			Sporulation delaying protein C
GJMMAFOP_00251	CDS	849	cvfB_1			Conserved virulence factor B
GJMMAFOP_00252	CDS	492				hypothetical protein
GJMMAFOP_00253	CDS	1839	yitJ_1		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
GJMMAFOP_00254	CDS	450				hypothetical protein
GJMMAFOP_00255	CDS	849				hypothetical protein
GJMMAFOP_00256	CDS	1269	ymfD_1			Bacillibactin exporter
GJMMAFOP_00257	CDS	1116	yitF_1	5.-.-.-	COG4948	Putative isomerase YitF
GJMMAFOP_00258	CDS	630				hypothetical protein
GJMMAFOP_00259	CDS	759	yitD_1	4.4.1.19	COG1809	Phosphosulfolactate synthase
GJMMAFOP_00260	CDS	687	comB	3.1.3.71	COG2045	putative 2-phosphosulfolactate phosphatase
GJMMAFOP_00261	CDS	711	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
GJMMAFOP_00262	CDS	1170	sat_1	2.7.7.4	COG2046	Sulfate adenylyltransferase
GJMMAFOP_00263	CDS	600	cysC_1	2.7.1.25	COG0529	putative adenylyl-sulfate kinase
GJMMAFOP_00264	CDS	807		3.1.1.2		Arylesterase
GJMMAFOP_00265	CDS	639				hypothetical protein
