locus_tag	ftype	length_bp	gene	EC_number	COG	product
AGMPGHNC_00001	tRNA	77				tRNA-Ile(gat)
AGMPGHNC_00002	tRNA	74				tRNA-Ala(tgc)
AGMPGHNC_00003	tRNA	77				tRNA-Ile(gat)
AGMPGHNC_00004	tRNA	74				tRNA-Ala(tgc)
AGMPGHNC_00005	tRNA	76				tRNA-Ala(tgc)
AGMPGHNC_00006	tRNA	77				tRNA-Ile(gat)
AGMPGHNC_00007	tRNA	77				tRNA-Arg(acg)
AGMPGHNC_00008	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
AGMPGHNC_00009	CDS	552	fliZ			Regulator of sigma S factor FliZ
AGMPGHNC_00010	CDS	801	fliY_1		COG0834	L-cystine-binding protein FliY
AGMPGHNC_00011	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
AGMPGHNC_00012	CDS	669	yecS_1		COG0765	L-cystine transport system permease protein YecS
AGMPGHNC_00013	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
AGMPGHNC_00014	CDS	723	sdiA		COG2771	Regulatory protein SdiA
AGMPGHNC_00015	CDS	225				hypothetical protein
AGMPGHNC_00016	CDS	657	uvrY		COG2197	Response regulator UvrY
AGMPGHNC_00017	CDS	1833	uvrC		COG0322	UvrABC system protein C
AGMPGHNC_00018	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
AGMPGHNC_00019	tRNA	76				tRNA-Gly(gcc)
AGMPGHNC_00020	tRNA	74				tRNA-Cys(gca)
AGMPGHNC_00021	tRNA	87				tRNA-Leu(taa)
AGMPGHNC_00022	CDS	1434				hypothetical protein
AGMPGHNC_00023	CDS	192				hypothetical protein
AGMPGHNC_00024	CDS	666				hypothetical protein
AGMPGHNC_00025	CDS	1269	tyrP		COG0814	Tyrosine-specific transport protein
AGMPGHNC_00026	CDS	240				hypothetical protein
AGMPGHNC_00027	CDS	498	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
AGMPGHNC_00028	CDS	336				hypothetical protein
AGMPGHNC_00029	CDS	639				hypothetical protein
AGMPGHNC_00030	CDS	504	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
AGMPGHNC_00031	CDS	537	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
AGMPGHNC_00032	CDS	903	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
AGMPGHNC_00033	CDS	1422	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
AGMPGHNC_00034	CDS	429	uspC		COG0589	Universal stress protein C
AGMPGHNC_00035	CDS	342	flhD			Flagellar transcriptional regulator FlhD
AGMPGHNC_00036	CDS	579	flhC			Flagellar transcriptional regulator FlhC
AGMPGHNC_00037	CDS	888	motA		COG1291	Motility protein A
AGMPGHNC_00038	CDS	930	motB		COG1360	Motility protein B
AGMPGHNC_00039	CDS	2016	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
AGMPGHNC_00040	CDS	504	cheW		COG0835	Chemotaxis protein CheW
AGMPGHNC_00041	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
AGMPGHNC_00042	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
AGMPGHNC_00043	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
